the_geom,BIN,NAME,Height Roof
"MULTIPOLYGON (((-73.998171706003 40.714129322085, -73.99816855694 40.714124038739, -73.998163412643 40.714115409965, -73.998099771161 40.714008659704, -73.99805130233 40.713927358994, -73.998191569386 40.713865054049, -73.998198185024 40.713862115786, -73.998260393181 40.713975272206, -73.998347559746 40.714133826392, -73.998376577096 40.714186610233, -73.998362124466 40.714191036938, -73.998306629992 40.714208035976, -73.998314781421 40.714220194789, -73.998241212732 40.714245910472, -73.998171706003 40.714129322085)))",1001726,,115
"MULTIPOLYGON (((-73.989300746085 40.724245128452, -73.989340843036 40.724261762778, -73.989312227867 40.724301689613, -73.989351870363 40.724318134785, -73.989296167207 40.724395855287, -73.989216426495 40.724362776641, -73.989243129724 40.724325517862, -73.989300746085 40.724245128452)))",1006083,,32.69
"MULTIPOLYGON (((-73.991443948165 40.716295820813, -73.991382603476 40.716277550287, -73.991417094738 40.716210504464, -73.991413292193 40.716200876824, -73.991420106151 40.716187631725, -73.991442756975 40.716143602957, -73.991511693447 40.716164134292, -73.991583648967 40.716185565416, -73.99150301696 40.716342297824, -73.991431062479 40.71632086665, -73.991443948165 40.716295820813), (-73.99147806411 40.716229506159, -73.991466936035 40.716226191456, -73.991447483829 40.716264003344, -73.991452539011 40.716279120586, -73.99147806411 40.716229506159)))",1003995,,58
"MULTIPOLYGON (((-73.997128703514 40.718786552914, -73.997154308062 40.71879557846, -73.997353969091 40.71886596258, -73.997415194581 40.718887545593, -73.997363916216 40.718971754726, -73.997261358026 40.71893560136, -73.99723135184 40.718925024152, -73.997253116485 40.718889281629, -73.997220861606 40.718877911016, -73.997225794988 40.718869808346, -73.997104118233 40.71882691496, -73.997128703514 40.718786552914)))",1077452,,66.92
"MULTIPOLYGON (((-74.015784151771 40.705535786776, -74.015829846758 40.705546099463, -74.015850513289 40.70555076397, -74.015844465502 40.70556628332, -74.015725252338 40.705872187256, -74.01566014857 40.706039244634, -74.015651326287 40.706061883794, -74.015636729205 40.706058589006, -74.015599646587 40.706050220181, -74.015591795208 40.706070365689, -74.015385380661 40.706023780287, -74.015337558872 40.706012986835, -74.015349070543 40.705983449421, -74.015403361169 40.705844140229, -74.015423385266 40.705792757957, -74.015499640227 40.70559708545, -74.015544598278 40.705481721144, -74.015784151771 40.705535786776)))",1087080,,270
"MULTIPOLYGON (((-73.984917153733 40.726363565782, -73.984937495763 40.72633559863, -73.984960909189 40.726345455962, -73.984967582505 40.726336281545, -73.985003023401 40.7263512022, -73.984996350088 40.726360376618, -73.985016681506 40.726368935903, -73.985009131995 40.726379314189, -73.984895048363 40.726536151762, -73.984815862482 40.726502815307, -73.984917153733 40.726363565782)))",1005783,,57.01
"MULTIPOLYGON (((-74.00734001131 40.71908168578, -74.007230666208 40.719071399872, -74.007203795951 40.71906051259, -74.007196720347 40.719057644908, -74.007119887707 40.719026513653, -74.007153904736 40.718832579504, -74.007234757572 40.718840788903, -74.007239984448 40.718810990697, -74.007234632175 40.718808634398, -74.007235417528 40.718803804013, -74.007286838649 40.718776554036, -74.007380020341 40.718783519848, -74.007427311256 40.718813461466, -74.007424922121 40.718828163347, -74.00740783623 40.718933309801, -74.007383067151 40.719085736221, -74.00734001131 40.71908168578)))",1002017,,129.91
"MULTIPOLYGON (((-73.998810335856 40.72450519643, -73.998887157804 40.724542694406, -73.998789416759 40.724658593476, -73.998712594732 40.724621094535, -73.998810335856 40.72450519643)))",1007611,,54.98
"MULTIPOLYGON (((-73.974438544761 40.700060829804, -73.974916443968 40.699762686159, -73.974975826477 40.699817820344, -73.975014867233 40.699854067241, -73.974995504131 40.699866147011, -73.974747873326 40.700020635273, -73.974572205381 40.70013022767, -73.974536967812 40.700152211291, -73.974438544761 40.700060829804)))",3395476,,39.83037021
"MULTIPOLYGON (((-73.983924114374 40.72631339195, -73.983880389922 40.726373526341, -73.983769587026 40.726326895922, -73.983813311546 40.726266762474, -73.983924114374 40.72631339195)))",1077645,,49.59
"MULTIPOLYGON (((-73.998119762608 40.712820135407, -73.998135771137 40.712817504374, -73.998256267612 40.712797703128, -73.998288414826 40.712792420313, -73.998316763002 40.712841118551, -73.998262725476 40.712850528987, -73.998204635799 40.712860644435, -73.998134716325 40.712872820031, -73.998126366759 40.712843404712, -73.998119762608 40.712820135407)))",1081971,,62.52905715
"MULTIPOLYGON (((-73.990468289737 40.714363426133, -73.990456994215 40.714283994761, -73.990549597136 40.714276371471, -73.990553439587 40.714303389805, -73.990566372707 40.714394337932, -73.9905053485 40.714375106115, -73.990468289737 40.714363426133)))",1003600,,51.38
"MULTIPOLYGON (((-73.984657514444 40.719700827484, -73.984326534265 40.719602096023, -73.984459528911 40.719344004476, -73.984790508006 40.719442735558, -73.984657514444 40.719700827484)))",1090182,,86
"MULTIPOLYGON (((-73.998741463949 40.722491380061, -73.998753617599 40.72247652989, -73.998736815398 40.722454728369, -73.998680237914 40.722427925869, -73.998624328493 40.722436281945, -73.99860711592 40.72245731404, -73.998598624443 40.722467689609, -73.998627023847 40.722481142664, -73.998525840873 40.722604775978, -73.998256305902 40.722477090764, -73.998326031277 40.722393273264, -73.998451842364 40.722242033531, -73.99906564405 40.722532805682, -73.99899730317 40.72261257675, -73.998741463949 40.722491380061)))",1007235,,100.66
"MULTIPOLYGON (((-74.006330451722 40.717492460666, -74.006402938555 40.717399180007, -74.006493110737 40.717283140611, -74.006649673119 40.717353581287, -74.006619609508 40.717392268939, -74.006537898554 40.717497420784, -74.006487019158 40.717562896158, -74.006374092629 40.717512092981, -74.006330451722 40.717492460666)))",1001958,,73.89
"MULTIPOLYGON (((-73.987102809968 40.72782875869, -73.987142370709 40.727773894202, -73.987160823267 40.727781594712, -73.987170482555 40.727768198916, -73.987152029999 40.727760498408, -73.987186794174 40.72771228723, -73.987201098373 40.727692449708, -73.987201492653 40.727691903143, -73.987232645376 40.727704903646, -73.987282412824 40.727725672188, -73.987266871338 40.727747225954, -73.987232951412 40.727794268389, -73.987213400446 40.72778610941, -73.987203741165 40.727799505208, -73.987223292133 40.727807664189, -73.987183428328 40.727862948308, -73.987151404399 40.727849584789, -73.987147048359 40.727855626718, -73.987166699944 40.727863828043, -73.987120059855 40.727928509996, -73.987060933449 40.727903835727, -73.987107573579 40.727839153798, -73.987127415716 40.727847434396, -73.987132076052 40.727840971964, -73.987102809968 40.72782875869)))",1006356,,58.59
"MULTIPOLYGON (((-74.000709308202 40.727848778197, -74.000815612217 40.727721439222, -74.000883775027 40.72763978867, -74.000892649142 40.727629158993, -74.001043114906 40.727701855813, -74.000943241167 40.727821491993, -74.000878838838 40.727898637303, -74.000859774262 40.727921474354, -74.000709308202 40.727848778197)))",1008256,,75.93
"MULTIPOLYGON (((-74.00204401058 40.720185029112, -74.002098370184 40.72012114236, -74.00230420786 40.719879228143, -74.002339616407 40.719903936519, -74.0024385453 40.719972968454, -74.00243280404 40.719979715196, -74.002194881017 40.720259340008, -74.002096166822 40.72021071882, -74.00204401058 40.720185029112)))",1003009,,76.72
